Epoch,Train Loss,Train Acc,Eval Loss,Eval Acc
1,1.9487551170952466,27.34,1.800791722536087,34.76
2,1.7052706090771421,37.032,1.514195618033409,46.02
3,1.478377459000568,46.128,1.409071284532547,50.19
4,1.3209326297652966,52.454,1.2479849576950073,55.68
5,1.1879114335288807,57.694,1.0850061073899269,60.64
6,1.0698872351524782,62.292,1.0503007799386979,63.8
7,0.9892638572016541,65.18,0.995457473397255,65.03
8,0.9452748517600857,67.084,0.889820721745491,69.12
9,0.89961333086296,68.62,1.0247759878635407,65.59
10,0.8774158683966617,69.402,0.835019375383854,71.8
11,0.8259785759205721,71.354,0.7912680312991143,72.58
12,0.7908965358320548,72.692,0.7679531708359718,73.03
13,0.7737782703978675,73.132,0.805458715558052,72.0
14,0.7536836555417703,73.76,0.8654453381896019,71.97
15,0.7403159138499474,74.25,0.8658915847539902,70.7
16,0.7258251154301117,74.786,1.1320620849728584,63.64
17,0.7165492088819037,75.074,0.7488320574164391,74.86
18,0.7060278827438549,75.468,0.7162040814757347,75.57
19,0.6906041799455273,76.27,0.9609228447079659,70.29
20,0.6872911696531334,76.212,0.6257608503103256,78.43
21,0.6759664492339504,76.794,0.8314727917313576,73.49
22,0.6680732053153369,76.944,0.778923974186182,74.96
23,0.6644417430673327,76.904,0.930119888484478,70.18
24,0.6642461080028086,77.036,0.7978668630123138,75.6
25,0.6586961949966392,77.354,0.8240586504340172,72.8
26,0.6514089466357718,77.402,0.6366036534309387,78.39
27,0.6442979055703902,77.858,0.6233127467334271,79.2
28,0.6423384176225079,77.97,0.8997275695204735,71.67
29,0.6388824019505053,78.026,0.6288785308599472,79.12
30,0.6386636617232342,77.938,0.644301189482212,78.07
31,0.625900884672087,78.428,0.6641413614153862,77.44
32,0.6224719897216681,78.37,0.9167019158601761,71.87
33,0.624660070149266,78.612,0.5070861250162124,82.39
34,0.6199906763373589,78.51,0.5963578589260579,79.7
35,0.6197313982613233,78.53,0.7145195305347443,76.19
36,0.6118493008674407,78.814,0.6480320006608963,78.59
37,0.6153876358757213,78.78,0.7397308461368084,75.5
38,0.609551978962762,78.988,0.643283000588417,78.55
39,0.6121142664734198,78.848,0.523857631534338,81.57
40,0.6013995211343376,79.162,0.5210183538496495,82.46
41,0.6000338879470922,79.328,0.5866893671453,79.46
42,0.6028681859678152,79.158,0.5838922496885062,80.1
43,0.44195691709007534,84.75,0.2892752218991518,89.78
44,0.37500881966279476,87.222,0.2719432540237904,90.72
45,0.3568907382384855,87.624,0.26696218438446523,90.77
46,0.34492703945356973,88.074,0.26060586348176,90.81
47,0.33644915577404355,88.37,0.2696324184536934,91.1
48,0.3220108695784394,88.77,0.2576397743076086,91.02
49,0.3125903994909355,89.216,0.2510428551584482,91.83
50,0.305713205085117,89.45,0.24853723123669624,91.77
51,0.30264532452031057,89.58,0.2492206871509552,91.75
52,0.2973332055369202,89.84,0.2527957264333963,91.4
53,0.26451988016464273,90.982,0.2216218203306198,92.51
54,0.25210382173560103,91.306,0.21753495782613755,92.75
55,0.2462728252368314,91.608,0.21526264064013959,92.94
56,0.2443472822862012,91.618,0.21458065919578076,92.81
57,0.23786303157709082,91.712,0.21530678644776344,92.8
58,0.2392788650277926,91.832,0.21196800321340561,92.94
59,0.2373922132715887,91.824,0.21324857845902442,92.75
60,0.241041967759327,91.748,0.2103760289028287,92.98
61,0.2354880861785947,91.83,0.21351442635059356,92.99
62,0.23078254667319814,91.988,0.20942299496382474,93.08
63,0.22620968931183524,92.234,0.2096232395619154,93.02
64,0.2248260635426458,92.248,0.20862382613122463,93.18
65,0.22603341336457097,92.122,0.2106422409415245,93.14
66,0.2236142930175577,92.312,0.20835028253495694,93.23
67,0.21971465822081176,92.552,0.20684822592884303,93.25
68,0.22292799054055798,92.4,0.20659346897155045,93.14
69,0.2198688492406996,92.496,0.20690452326089143,93.23
70,0.21737057829693873,92.584,0.2036012727767229,93.35
71,0.21799121280105746,92.514,0.20894103385508062,93.05
