Epoch,Train Loss,Train Acc,Eval Loss,Eval Acc
83,0.1440289935895375,95.198,0.21295455582439898,93.0
84,0.12974112963646042,95.746,0.20849059484899043,93.28
85,0.12263039490017964,95.946,0.20820863097906112,93.45
86,0.11466957963242823,96.218,0.2075155433267355,93.2
87,0.10927258219037737,96.38,0.20785209611058236,93.41
88,0.10267308736410068,96.674,0.20742771960794926,93.27
89,0.09898444837225336,96.698,0.2149099439382553,93.44
90,0.0971243132323939,96.786,0.2122833862900734,93.29
91,0.08928958452021589,97.064,0.21158993542194365,93.34
92,0.08708701543129828,97.042,0.21581812687218188,93.56
93,0.08278683291710152,97.212,0.21615813337266446,93.26
94,0.08104609931838147,97.354,0.21190729085355997,93.53
95,0.07950954063206303,97.35,0.21567357517778873,93.58
96,0.07371086677612394,97.572,0.21962879542261363,93.39
97,0.07255770351585684,97.584,0.2183501875028014,93.5
98,0.07144650459593656,97.682,0.23174492493271828,93.17
99,0.06938272703210918,97.678,0.2146678352728486,93.42
100,0.06408466442431114,97.916,0.22816357500851153,93.45
101,0.06386802549835066,97.81,0.231861780770123,93.38
102,0.06416021293143229,97.892,0.23778845220804215,93.23
103,0.06612114245262073,97.808,0.23758725114166737,93.27
104,0.06383643907551863,97.966,0.22679490819573403,93.33
105,0.06121938575857452,97.988,0.23724187798798085,93.42
106,0.05994374908468857,98.096,0.24660998452454805,93.03
107,0.05998770022118578,98.024,0.23455404117703438,93.49
108,0.058248389350744535,98.134,0.241765845566988,93.13
109,0.06052441996693307,98.06,0.2308151949197054,93.13
110,0.05816283147325929,98.178,0.24922726750373841,93.19
111,0.057203001608805995,98.178,0.24132460840046405,92.91
112,0.05894505256330784,98.102,0.23630492109805346,93.31
113,0.055137430650315115,98.282,0.25189990252256395,93.24
114,0.05634115262869365,98.246,0.23993711229413747,93.24
115,0.05375299851733203,98.292,0.23759614452719688,93.33
116,0.05414533731052462,98.248,0.23514347523450851,93.19
117,0.05517648383784963,98.168,0.2439340388402343,93.03
118,0.05642497783754857,98.166,0.23332637138664722,93.38
119,0.056222660742624074,98.182,0.2640488792210817,92.65
120,0.05572807620640616,98.21,0.23857055511325598,93.41
121,0.04266802029094982,98.686,0.21904125921428202,93.98
122,0.034279582437545975,98.974,0.21429272163659335,94.01
123,0.03181307949125767,99.08,0.21423128843307496,93.92
124,0.03045112970855315,99.11,0.2119868729263544,94.09
125,0.02885830231790184,99.204,0.21417782176285982,93.99
126,0.028965190452124392,99.164,0.21383464634418486,94.02
127,0.026028803967851764,99.26,0.21411911956965923,94.17
128,0.026643816027695274,99.198,0.2145646197721362,94.0
129,0.02689436681055445,99.208,0.2117251517251134,94.15
130,0.025977556707755645,99.248,0.2121104009449482,94.27
131,0.02716229026376897,99.256,0.21345936097204685,94.22
132,0.02443904516866849,99.306,0.21459234952926637,94.1
133,0.024495642974364514,99.318,0.2138474142178893,94.17
134,0.024092442674410283,99.326,0.21444981694221496,94.04
135,0.02354442317998607,99.338,0.21497226245701312,94.19
136,0.02319140652223129,99.348,0.21513498425483704,94.25
137,0.022512316784574365,99.356,0.21491342075169087,94.22
138,0.023234349456900845,99.36,0.21607465352863073,94.14
139,0.0227542539288727,99.364,0.21556147132068873,94.12
140,0.022293636133438165,99.402,0.21617622934281827,94.15
141,0.022180807339597722,99.406,0.21624497156590222,94.3
142,0.02280129079127266,99.396,0.21556167416274546,94.27
143,0.021515393102237462,99.42,0.21540464144200086,94.24
144,0.021776895437921797,99.412,0.21533070746809244,94.19
145,0.022148130939114004,99.324,0.2143762530758977,94.18
146,0.02015547931184802,99.472,0.2184411607682705,94.16
147,0.021879634881696225,99.378,0.21805753242224454,94.06
148,0.021847532639203936,99.392,0.21660047881305217,94.09
149,0.021962389471104408,99.416,0.21833255160599946,94.21
150,0.020548088240855356,99.47,0.215531855635345,94.21
