Epoch,Train Loss,Train Acc,Eval Loss,Eval Acc
1,2.0305057350470097,24.23,1.7116264522075653,35.8
2,1.7636027658472255,34.744,1.722642907500267,39.04
3,1.5658806653655306,42.674,1.368867090344429,49.44
4,1.4106824404122877,48.45,1.2536469995975494,55.22
5,1.288596250572983,53.438,1.0917739599943161,61.72
6,1.1465602246474247,59.176,1.0407853528857232,63.36
7,1.0417767170132424,63.248,0.9313881605863571,67.16
8,0.9652968049049377,65.98,0.8779391810297966,69.54
9,0.8960895462303745,68.598,0.9382091283798217,68.52
10,0.8504241175797521,69.97,0.8921213909983635,70.99
11,0.8034370787897889,72.076,0.8148331508040428,72.54
12,0.7692124752365813,73.304,0.6624716550111771,76.72
13,0.7365119007168984,74.278,0.6430064335465431,78.03
14,0.7031960368764644,75.53,0.777353149652481,72.72
15,0.6824167282605658,76.342,0.6679272159934044,77.59
16,0.6482963355220094,77.332,0.623923210799694,79.3
17,0.6252896688422378,78.184,0.6689305171370507,77.85
18,0.6131820984336794,78.798,0.5557337358593941,81.19
19,0.5969518482380983,79.168,0.5421008251607418,81.51
20,0.5741928215233647,79.964,0.5511302031576634,81.27
21,0.5580912417903239,80.574,0.5915559910237789,80.35
22,0.5403825833785291,81.32,0.5147281125187874,82.55
23,0.5218753154788699,81.71,0.5135311178863049,82.76
24,0.5149308871857974,82.1,0.46095769107341766,84.73
25,0.5023801133644824,82.518,0.5008435070514679,83.32
26,0.49277850225263714,83.044,0.5530747801065445,81.25
27,0.47287983158413244,83.646,0.4795561097562313,84.15
28,0.4748541835923584,83.324,0.5047446697950363,83.03
29,0.46230265330903386,83.794,0.5291953466832637,82.32
30,0.4542857309689327,84.302,0.517731174826622,82.82
31,0.44407856251512257,84.474,0.4265097063034773,85.56
32,0.43533601338157846,84.854,0.49317113906145094,83.53
33,0.4329324756958047,84.978,0.4206364147365093,85.49
34,0.42154343061301175,85.204,0.500143113732338,83.63
35,0.4091753237405602,85.806,0.410774739086628,86.07
36,0.4059847392597977,85.85,0.4456079438328743,85.61
37,0.40087603747236483,86.128,0.4018505483865738,87.1
38,0.4006600002853238,86.186,0.48579017594456675,84.83
39,0.3907821844426953,86.332,0.5280495852231979,83.26
40,0.3797570825839529,86.886,0.436569894105196,85.75
41,0.37891868783199056,86.728,0.4186206184327602,86.14
42,0.37149654344028354,87.068,0.441068109869957,86.01
43,0.2850478988673006,90.082,0.31077459156513215,90.21
44,0.254385914501487,91.132,0.30272746421396735,90.22
45,0.24012196611384956,91.68,0.29644892886281016,90.67
46,0.2356271200946399,91.72,0.29853065088391306,90.17
47,0.2266499544588887,92.048,0.2970965810120106,90.52
48,0.2289608428824921,92.026,0.2960073433816433,90.37
49,0.21983747549202978,92.278,0.29454509131610396,90.72
50,0.21528847515583038,92.314,0.2953113790601492,90.5
51,0.2127125523224169,92.626,0.2953861191868782,90.72
52,0.20968204501027965,92.63,0.296689048781991,90.79
53,0.20105898296650576,92.904,0.2942543957382441,90.89
54,0.20191167321588313,92.89,0.2945543896406889,90.72
55,0.20269922106241695,92.898,0.2945967368781567,90.6
56,0.194983234629035,93.02,0.29536038376390933,90.76
57,0.19930015181248284,92.956,0.2886557251214981,90.93
58,0.191880731976458,93.212,0.29258812330663203,91.05
59,0.19129388798408362,93.36,0.2976584192365408,90.89
